date,value_BR,value_AR,value_CL,value_PE,value_BO,value_UY,value_CO,value_VE,value_EC,value_PR,value_PY
2023,,,,,,,,,,,
2022,80.52775094,88.37535691,,74.67495125,,89.87304314,72.79637704,,69.71811352,,76.25916611
2021,80.68989314,87.15070683,90.19336882,71.10782643,65.9773785,90.07384089,73.02837449,,76.20289766,84.78666399,77.01838621
2020,81.34269353,85.51438646,86.37099516,65.25179796,59.94010155,86.31019103,69.79533474,,70.7,,73.95751114
2019,73.91243991,79.94695203,85.01758384,59.9505036,47.47481911,83.35153377,65.00690072,,59.2,77.73643937,68.51762842
2018,70.43428254,77.7,84.9,55.05433424,44.2861422,80.72684288,64.12637682,,57.5,70.85639974,64.99354302
2017,67.47128452,74.29490687,82.32748693,50.45041218,43.83227607,70.3223544,62.25988032,61.6,55.8,68.74077314,61.07575622
2016,60.87254007,70.96898082,83.55858602,45.46174069,39.6975146,66.4,58.13649357,60.0,54.06292473,68.6438072,53.40412748
2015,58.32795173,68.04306411,76.62959195,40.85260091,37.49,64.5707871,55.90497251,58.0,48.94043379,63.46633538,49.71630466
2014,54.55100188,64.7,61.11,40.2,34.6,61.46,52.57,57.0,45.59039067,69.0,43.0
2013,51.04,59.9,58.0,39.2,36.99,57.69,51.7,54.9,40.27912194,68.99999,36.9
2012,48.56,55.8,55.05,38.2,35.34,54.45376868,48.98,49.05008307,35.13514645,68.9999826,29.34
2011,45.69,51.0,52.24960729,36.01,30.0,51.40466106,40.35091575,40.22,31.36680836,48.0,24.76351588
2010,40.65,45.0,45.0,34.77,22.4,46.4,36.5,37.37,29.03,45.3,19.8
2009,39.22,34.0,41.56,31.4,16.8,41.8,30.0,32.7,24.6,41.5,18.9
2008,33.83,28.11262348,37.3,30.57,12.5,39.3,25.6,25.88,18.8,38.0,14.27
2007,30.88,25.94663294,35.9,25.2,10.49924432,34.0,21.8,20.83,10.8,27.86,11.21
2006,28.17838018,20.9272021,34.49775117,20.7,6.200671255,29.4,15.34167454,15.22471148,7.2,25.44241821,7.962073884
2005,21.02274725,17.72058337,31.17534703,17.1,5.227583957,20.08818956,11.00726389,12.55299791,5.994255161,23.40005045,7.907007861
2004,19.07367227,16.03668411,28.17791012,14.1,4.439924601,17.06309834,9.118690303,8.404469592,4.834442638,22.13073823,3.452438431
2003,13.2075861,11.91369655,25.47377889,11.6,3.508596401,15.93713672,7.388923711,7.499963465,4.460228345,19.70702566,2.111942082
2002,9.149425086,10.88212438,22.1,8.96694917,3.117192947,11.4194702,4.6,4.910446327,4.260796915,17.54764757,1.794969598
2001,4.528494869,9.780807285,19.1,7.578762957,2.120462534,11.12143768,2.854199971,4.636000948,2.670443674,15.63003092,1.098793836
2000,2.870685159,7.038683086,16.6,3.076430611,1.442763585,10.53905775,2.207532993,3.359597465,1.462188536,10.47464821,0.747630712
1999,2.038732184,3.284481956,4.103419297,1.952497608,0.981815187,9.972765285,1.697730794,2.839825767,0.823371634,5.265682651,0.38165732
1998,1.477874959,0.83076668,1.662322022,1.19038044,0.626484062,6.987069365,1.126225245,1.383990391,0.125272771,2.647646679,0.194904951
1997,0.786079155,0.280339882,1.057092496,0.403429701,0.447839036,3.363239668,0.550521023,0.390959318,0.110217959,1.331822159,0.099576719
1996,0.450789179,0.141954704,0.68347561,0.24623258,0.196081174,1.847472089,0.330017773,0.24826058,0.086161276,0.268160428,0.020359612
1995,0.105138168,0.086277081,0.346980781,0.033412305,0.066807568,0.310128582,0.18804679,0.122214848,0.043833641,0.135102783,0.0
1994,0.037672709,0.043705951,0.141084507,0.008504578,0.0,0.062474386,0.107173945,0.055486978,0.034833586,0.027254662,0.0
1993,0.025498253,0.029527065,0.071783144,0.0,0.0,0.0,0.0,0.041587233,0.016400751,0.0,0.0
1992,0.012946262,0.002992874,0.036548938,0.0,0.0,0.0,0.0,0.012082134,0.005118035,0.0,0.0
1991,0.003288171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,,,,,,,,,,,
1988,,,,,,,,,,,
1987,,,,,,,,,,,
1986,,,,,,,,,,,
1985,,,,,,,,,,,
1984,,,,,,,,,,,
1983,,,,,,,,,,,
1982,,,,,,,,,,,
1981,,,,,,,,,,,
1980,,,,,,,,,,,
1979,,,,,,,,,,,
1978,,,,,,,,,,,
1977,,,,,,,,,,,
1976,,,,,,,,,,,
1975,,,,,,,,,,,
1974,,,,,,,,,,,
